1001123211-8 130110343344243-824233243433221222142232121324421111320000000000000000000000000000000000000000000000000000058.18417122958.11886912959.32967890359.32967890358.11886912958.11886912958.11886912958.11886912958.11886912958.11886912959.32967890358.11886912959.32967890359.32967890359.32967890358.11886912959.32967890359.32967890358.11886912959.32967890359.32967890359.32967890359.32967890358.11886912959.32967890359.32967890359.32967890358.11886912958.11886912959.32967890358.11886912958.11886912959.32967890358.11886912959.32967890359.32967890359.32967890358.77189013159.32967890358.11886912959.32967890358.11886912959.32967890359.32967890358.11886912958.11886912959.32967890358.11886912958.11886912959.32967890358.11886912959.32967890359.32967890359.32967890358.11886912959.32967890359.32967890359.32967890358.11886912958.11886912958.11886912958.11886912958.11886912959.32967890359.32967890358.11886912958.11886912959.32967890358.11886912958.11886912959.32967890358.11886912958.77189013158.77189013158.77189013158.77189013158.77189013158.77189013158.77189013158.77189013158.77189013159.32967890358.118869129           059.32967890359.32967890358.11886912959.32967890359.32967890359.32967890358.11886912959.32967890358.11886912958.11886912958.11886912959.32967890358.11886912959.32967890359.32967890359.32967890359.329678903
1001222142 2-802320222333434 222233142322211111111233233433334434330000000000000000000000000000000000000000000000000000062.19636363662.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973463.759499759           0 60.8613406863.75949975963.759499759 60.8613406863.759499759 60.86134068 60.8613406863.759499759 60.86134068 60.8613406862.82460973463.759499759 60.8613406863.75949975963.75949975963.75949975963.75949975963.759499759 60.8613406863.75949975963.75949975963.75949975963.759499759 60.86134068 60.8613406863.75949975963.75949975963.75949975963.75949975963.75949975963.75949975962.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.824609734
1001322241-8 220000244444223 112132233323312112222222213112211111210000000000000000000000000000000000000000000000000000062.19636363662.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973463.75949975963.759499759 60.8613406863.75949975963.759499759 60.8613406863.759499759 60.86134068 60.8613406863.759499759 60.86134068 60.8613406862.82460973463.759499759 60.8613406863.75949975963.75949975963.75949975963.75949975963.759499759 60.8613406863.75949975963.75949975963.75949975963.759499759 60.86134068 60.86134068           063.75949975963.75949975963.75949975963.75949975963.75949975962.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.82460973462.824609734
1001424211-8 304040444434332 122242233433311112121223221444421221310000000000000000000000000000000000000000000000000000047.317934783 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.7958937248.83278810848.83278810848.83278810848.83278810846.70962340846.70962340848.83278810846.70962340846.70962340848.83278810846.70962340848.83278810846.70962340846.70962340846.70962340848.83278810848.83278810848.83278810846.70962340848.832788108 47.7958937246.70962340848.832788108 47.7958937248.832788108 47.7958937246.70962340846.70962340848.832788108 47.7958937246.70962340848.832788108 47.79589372 47.7958937246.70962340848.83278810848.832788108 47.79589372 47.7958937246.70962340848.83278810846.709623408 47.7958937246.70962340846.70962340848.83278810846.70962340846.70962340848.832788108 47.7958937246.709623408 47.79589372           048.83278810848.832788108 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372 47.79589372
1001521412 2-800320143434233 222233343322222111113222222333332222220000000000000000000000000000000000000000000000000000060.45379310361.70274170361.70274170361.70274170359.57506095461.70274170361.70274170361.70274170361.70274170361.70274170361.70274170359.57506095461.70274170361.70274170361.70274170361.70274170359.57506095459.57506095461.70274170361.70274170361.70274170361.702741703           061.70274170361.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.06443747861.70274170361.70274170361.70274170361.06443747859.57506095459.57506095461.70274170359.57506095461.70274170359.57506095459.57506095459.57506095461.70274170359.57506095461.70274170361.70274170361.70274170361.70274170359.575060954
1001611312 2-812100133323233 2223233332312221122122341313333344423200000000000000000000000000000000000000000000000000000 288.1536658293.26238335293.26238335285.80164713285.80164713285.80164713293.26238335293.26238335291.06430889293.26238335285.80164713293.26238335285.80164713293.26238335285.80164713293.26238335293.26238335293.26238335293.26238335293.26238335293.26238335           0285.80164713293.26238335293.26238335293.26238335293.26238335293.26238335291.72806759293.26238335293.26238335285.80164713285.80164713293.26238335293.26238335285.80164713293.26238335285.80164713293.26238335293.26238335293.26238335293.26238335293.26238335293.26238335285.80164713291.06430889293.26238335293.26238335285.80164713293.26238335293.26238335293.26238335285.80164713293.26238335285.80164713293.26238335293.26238335285.80164713293.26238335291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889
1001711241-8 303010244444433 2232333223223121222222221122222111111100000000000000000000000000000000000000000000000000000 288.1536658293.26238335293.26238335285.80164713285.80164713285.80164713293.26238335293.26238335291.06430889293.26238335285.80164713293.26238335285.80164713293.26238335285.80164713293.26238335293.26238335293.26238335           0293.26238335293.26238335293.26238335285.80164713293.26238335293.26238335293.26238335293.26238335293.26238335291.72806759293.26238335293.26238335285.80164713285.80164713293.26238335293.26238335285.80164713293.26238335285.80164713293.26238335293.26238335293.26238335293.26238335293.26238335293.26238335285.80164713291.06430889293.26238335293.26238335285.80164713293.26238335293.26238335293.26238335285.80164713293.26238335285.80164713293.26238335293.26238335285.80164713293.26238335291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889291.06430889
1001834121-8 132220433333323-822223232323211111212222121334332324330000000000000000000000000000000000000000000000000000044.97882352946.34024064244.48663101646.34024064246.34024064246.34024064244.48663101644.48663101644.48663101644.48663101646.34024064244.48663101646.340240642 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.43315508 45.4331550846.34024064244.48663101646.34024064244.48663101644.48663101646.34024064244.48663101644.48663101646.34024064244.48663101646.34024064246.34024064246.34024064244.48663101646.34024064244.48663101644.48663101646.34024064246.34024064246.34024064244.48663101644.486631016           044.48663101646.34024064244.48663101644.48663101646.34024064246.34024064244.48663101644.48663101646.34024064246.34024064244.48663101646.34024064246.340240642
1001934212 1 304340444434244 223434233434211112222233232443231111220000000000000000000000000000000000000000000000000000045.44363867645.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532945.90266532944.91271650446.56528357646.56528357646.56528357644.91271650444.91271650446.56528357644.91271650444.91271650446.56528357646.56528357644.91271650444.91271650446.56528357646.56528357646.56528357646.56528357646.56528357644.91271650444.91271650446.56528357644.91271650446.56528357646.56528357646.56528357645.90266532945.90266532946.56528357644.91271650446.56528357646.56528357646.56528357646.56528357646.56528357646.56528357645.12349300446.42014707945.12349300445.12349300445.12349300446.42014707945.123493004           045.12349300445.12349300446.42014707946.42014707945.90266532945.34776730446.26817371545.90266532946.26817371546.26817371545.34776730445.34776730446.26817371545.902665329
1002023212 1 301330233434233 223231144343421112332322223323331111210000000000000000000000000000000000000000000000000000058.18417122958.11886912959.32967890359.32967890358.11886912958.11886912958.11886912958.11886912958.11886912958.11886912959.32967890358.11886912959.32967890359.32967890359.32967890358.11886912959.32967890359.32967890358.11886912959.32967890359.32967890359.32967890359.32967890358.11886912959.32967890359.32967890359.32967890358.11886912958.11886912959.32967890358.11886912958.11886912959.32967890358.11886912959.32967890359.32967890359.32967890358.77189013159.32967890358.11886912959.32967890358.11886912959.32967890359.32967890358.11886912958.11886912959.32967890358.11886912958.11886912959.32967890358.11886912959.32967890359.32967890359.32967890358.11886912959.32967890359.32967890359.32967890358.11886912958.11886912958.11886912958.11886912958.11886912959.32967890359.32967890358.11886912958.11886912959.32967890358.11886912958.11886912959.32967890358.11886912958.77189013158.77189013158.77189013158.77189013158.77189013158.77189013158.77189013158.77189013158.77189013159.32967890358.11886912959.32967890359.32967890359.32967890358.11886912959.32967890359.32967890359.32967890358.11886912959.32967890358.11886912958.11886912958.118869129           058.11886912959.32967890359.32967890359.32967890359.329678903
