IDNUMBER,INSTRUCTIONAL_LEVEL,ENROLLMENT_LEVEL,APPROX_ENROLLMENT,APPROX_TOTAL_COMPUTERS,COMPUTERS_PER_STUDENT
10756,Middle,500-999,750,750,1
10757,Middle,500-999,750,750,1
10758,High/Other,1000+,1200,350,0.2916666666666667
10759,Middle,500-999,750,750,1
10760,Elementary,<300,150,350,2.3333333333333335
10761,Middle,500-999,750,350,0.4666666666666667
10762,Middle,1000+,1200,1200,1
10763,High/Other,500-999,750,750,1
10764,High/Other,500-999,750,350,0.4666666666666667
10765,Middle,1000+,1200,1200,1
10766,Elementary,<300,150,100,0.6666666666666666
10767,Middle,500-999,750,750,1
10768,High/Other,500-999,750,750,1
10769,Elementary,500-999,750,350,0.4666666666666667
10770,Middle,500-999,750,750,1
10771,Middle,500-999,750,750,1
10772,Elementary,300-499,400,350,0.875
10773,Middle,300-499,400,350,0.875
10774,Middle,300-499,400,350,0.875
10775,Middle,500-999,750,750,1
10776,Middle,500-999,750,750,1
10777,High/Other,500-999,750,750,1
10778,Middle,<300,150,350,2.3333333333333335
10779,Middle,1000+,1200,1200,1
10780,Middle,500-999,750,750,1
10781,Middle,500-999,750,350,0.4666666666666667
10782,High/Other,<300,150,100,0.6666666666666666
10783,Elementary,<300,150,350,2.3333333333333335
10784,High/Other,500-999,750,750,1
10785,High/Other,300-499,400,350,0.875
10786,Middle,<300,150,350,2.3333333333333335
10787,Elementary,500-999,750,350,0.4666666666666667
10788,Middle,500-999,750,100,0.13333333333333333
10789,Middle,500-999,750,350,0.4666666666666667
10790,High/Other,1000+,1200,1200,1
10791,High/Other,1000+,1200,1200,1
10792,High/Other,300-499,400,350,0.875
10793,Middle,<300,150,350,2.3333333333333335
10794,Middle,300-499,400,750,1.875
10795,Middle,1000+,1200,750,0.625
10796,Elementary,300-499,400,350,0.875
10797,High/Other,300-499,400,750,1.875
10798,High/Other,500-999,750,750,1
10799,High/Other,<300,150,100,0.6666666666666666
10800,Elementary,500-999,750,750,1
